zipCode,medianHouseholdIncome,latitude,longitude
49038,62636,42.202822,-86.320868
49040,64306,41.965926,-85.323248
49042,72910,41.859375,-85.669395
49043,36280,42.285992,-86.268503
49045,57436,42.102102,-85.999123
49046,86054,42.519178,-85.387984
49047,62963,42.004654,-86.120706
49048,60454,42.274268,-85.493081
49050,75089,42.504302,-85.245704
49051,74886,42.176669,-85.236608
49052,63889,42.121199,-85.315221
49053,85909,42.286125,-85.411396
49055,62083,42.368474,-85.857813
49056,63438,42.395243,-86.066041
49057,51345,42.184475,-86.18301
49058,68214,42.636422,-85.29969
49060,134861,42.424345,-85.40485
49061,79229,41.873542,-85.815243
49064,68607,42.219819,-86.050128
49065,71447,42.138273,-85.842108
49066,69236,42.031263,-85.343516
49067,74583,42.024172,-85.798766
49068,80857,42.275694,-84.940816
49070,68750,42.53933,-85.62939
49071,108629,42.226439,-85.775518
49072,63875,42.012663,-85.457739
49073,67604,42.574928,-85.126192
49074,33750,42.320352,-85.540205
49075,105147,41.917513,-85.448603
49076,74440,42.428635,-84.88033
49078,77778,42.47251,-85.732849
49079,73333,42.240155,-85.908075
49080,74864,42.456426,-85.588337
49082,74063,41.940929,-84.87654
49083,105496,42.37811,-85.461128
49084,54375,42.180349,-86.385082
49085,104969,42.054277,-86.4626
49087,106250,42.12458,-85.676226
49088,100208,42.179736,-85.422562
49089,69286,42.001176,-85.234458
49090,68920,42.407427,-86.214544
49091,67333,41.828331,-85.447929
49092,64211,42.094284,-84.962983
49093,63118,41.975687,-85.647019
49094,65404,42.050304,-85.11357
49095,83393,41.906366,-85.885593
49096,73929,42.637069,-85.007259
49097,88208,42.121971,-85.487442
49098,59047,42.163885,-86.239986
49099,70307,41.793262,-85.671752
49101,75048,41.944405,-86.483407
49102,63000,41.949226,-86.252076
49103,65827,41.946299,-86.376474
49106,72500,41.938283,-86.554765
49107,66289,41.844909,-86.417637
49111,70915,42.022699,-86.291132
49112,61785,41.796034,-86.03054
49113,59219,41.803262,-86.501365
49116,127857,41.848108,-86.672121
49117,75114,41.781671,-86.726836
49119,56513,41.875946,-86.549234
49120,65148,41.831896,-86.230837
49125,79766,41.891899,-86.579425
49126,76875,42.032522,-86.371812
49127,93338,42.000088,-86.521741
49128,67398,41.820406,-86.600497
49129,106181,41.816107,-86.686432
49130,76667,41.774422,-85.860349
49201,74484,42.311764,-84.456172
